2219 0xe8ab []	Lep A5 dex 10
2220 0xe8ac []	Lep A6 sin  [= Raet U3 sin] 11
2221 0xe8ad []	Lep A6 dex  [= Raet U3 dex]  (0) 12
2222 0xe8ae []	Lep A7 sin  [= Raet A9 sin (0)] 13
2223 0xe8af []	Lep A7 dex  [= Raet A9 dex]  (0) 14
2224 0xe8b0 []	Lep A8 sin 15
2225 0xe8b1 []	Lep A8 dex  (0) 16
2226 0xe8b2 []	Lep A9 sin  [= Raet A11 sin] 17
2227 0xe8b3 []	Lep A9 dex  [= Raet A11 dex (0)] 18
2228 0xe8b4 []	Lep A10 sin 19
2229 0xe8b5 []	Lep A10 dex 20
2230 0xe8b6 []	Lep A11 sin 21
2231 0xe8b7 []	Lep A11 dex  (0) 22
2232 0xe8b8 []	Lep A13 sin 23
2233 0xe8b9 []	Lep A13 dex  (0) 24
2234 0xe8ba []	Lep A14 sin  [= Raet A14 sin] 25
2235 0xe8bb []	Lep A14 dex  [= Raet A14 dex] 26
2236 0xe8bc []	Lep A15 sin 27
2237 0xe8bd []	Lep A15 dex  (0) 28
2238 0xe8be []	Lep A16 sin  (0) 29
2239 0xe8bf []	Lep A16 dex 30

2240 0xe8c0 []	Lep A17 sin 31
2241 0xe8c1 []	Lep A17 dex  (0) 32
2242 0xe8c2 []	Lep A19 sin 33
2243 0xe8c3 []	Lep A19 dex  (0) 34
2244 0xe8c4 []	Lep A20 sin 35
2245 0xe8c5 []	Lep A20 dex  (0) 36
2246 0xe8c6 []	Lep A21 sin 37
2247 0xe8c7 []	Lep A21 dex 38
2248 0xe8c8 []	Lep A22 sin  [= Raet A1 sin] 39
2249 0xe8c9 []	Lep A22 dex  [= Raet A1 dex] 40
2250 0xe8ca []	Lep A23 sin 41
2251 0xe8cb []	Lep A23 dex 42
2252 0xe8cc []	Lep A24 sin  [= Raet A3 sin] 43
2253 0xe8cd []	Lep A24 dex  [= Raet A3 dex] 44
2254 0xe8ce []	Lep A25  [= Lat A1] 45
2255 0xe8cf []	Lep A26 sin  [= Raet A2 dex]  (0) 46
2256 0xe8d0 []	Lep A26 dex  [= Raet A2 sin  (0)] 47
2257 0xe8d1 []	Lep E1 sin  [=Raet E1 sin] 48
2258 0xe8d2 []	Lep E1 dex  [=Raet E1 dex] 49
2259 0xe8d3 []	Lep E2 sin  [=Raet E3 sin] 50
2260 0xe8d4 []	Lep E2 dex  [=Raet E3 dex] 51
2261 0xe8d5 []	Lep E3 sin 52
2262 0xe8d6 []	Lep E3 dex 53
2263 0xe8d7 []	Lep E4 sin  (0) 54
2264 0xe8d8 []	Lep E4 dex 55
2265 0xe8d9 []	Lep E5 sin 56
2266 0xe8da []	Lep E5 dex 57
2267 0xe8db []	Lep E6 sin  [= Raet E2 sin] 58
2268 0xe8dc []	Lep E6 dex  [= Raet E2 dex] 59
2269 0xe8dd []	Lep E7  [= Lat. E2 = Run E3] 60
2270 0xe8de []	Lep E8 sin  (0) 61
2271 0xe8df []	Lep E8 dex 62

2272 0xe8e0 []	Lep E9 sin 63
2273 0xe8e1 []	Lep E9 dex  (0) 64
2274 0xe8e2 []	Lep V1 sin  [= Raet V1 sin] 65
2275 0xe8e3 []	Lep V1 dex  [= Raet V1 dex] 66
2276 0xe8e4 []	Lep V2 sin  [= Raet V3 sin] 67
2277 0xe8e5 []	Lep V2 dex  [= Raet V3 dex]  (0) 68
2278 0xe8e6 []	Lep V3 sin  [= Run P1] 69
2279 0xe8e7 []	Lep V3 dex  [= Run P1]  (0) 70
2280 0xe8e8 []	Lep Z1 sin  [= Raet Z1 sin] 71
2281 0xe8e9 []	Lep Z1 dex  [= Raet Z1 dex] 72
2282 0xe8ea []	Lep Z2 sin  [= Raet Z2 sin] 73
2283 0xe8eb []	Lep Z2 dex  [= Raet Z2 dex] 74
2284 0xe8ec []	Lep Z5 75
2285 0xe8ed []	Lep Z6  [= Raet Z3] 76
2286 0xe8ee []	Lep Z8 77
2287 0xe8ef []	Lep Z9 78
2288 0xe8f0 []	Lep Z10 79
2289 0xe8f1 []	Lep Z11 sin 80
2290 0xe8f2 []	Lep Z11 dex 81
2291 0xe8f3 []	Lep Θ1 82
2292 0xe8f4 []	Lep Θ2  [= Raet <thousand>2] 83
2293 0xe8f5 []	Lep Θ3 84
2294 0xe8f6 []	Lep Θ4 85
2295 0xe8f7 []	Lep I1  [= Raet I1] 86
2296 0xe8f8 []	Lep I2 sin 87
2297 0xe8f9 []	Lep I2 dex  (0) 88
2298 0xe8fa []	Lep I3 sin 89
2299 0xe8fb []	Lep I3 dex 90
2300 0xe8fc []	Lep K1 sin  [= Raet K1 sin] 91
2301 0xe8fd []	Lep K1 dex  [= Raet K1 dex] 92
2302 0xe8fe []	Lep K2 sin 93
